Model,Feature_Set,Invalid_Precision,Invalid_Recall,Invalid_F1,Invalid_F1_Std,Macro_F1,Accuracy,Balanced_Accuracy,CV_Folds
Rule-based (Definite Quality Issue),Stage 1 Quality Flags,0.3409,0.1119,0.1685,0.0,0.5437,0.852,0.5392,5
Rule-based (Definite Issue + Duplicate Pair),Stage 1 Quality Flags,0.5735,0.291,0.3861,0.0,0.6586,0.876,0.6288,5
Logistic Regression (Balanced),Raw Inputs,0.1158,0.3507,0.1741,0.0535,0.4343,0.554,0.4681,5
Logistic Regression (Balanced),Raw + Quality Features,0.4,0.5075,0.4474,0.0614,0.6742,0.832,0.6948,5
Random Forest (Balanced),Raw Inputs,0.8861,0.5224,0.6573,0.0497,0.8082,0.927,0.756,5
Random Forest (Balanced),Raw + Quality Features,0.954,0.6194,0.7511,0.0875,0.8601,0.945,0.8074,5
Gradient Boosting,Raw Inputs,0.9733,0.5448,0.6986,0.0614,0.8317,0.937,0.7712,5
Gradient Boosting,Raw + Quality Features,0.9494,0.5597,0.7042,0.0609,0.8345,0.937,0.7775,5
