Feature,TotalCount,ValidCount,MissingCount,Min,Max,Mean,Median,Std
Applied_Voltage_kV,1000,1000,0,8.0142,31.9783,20.135588300000002,19.985,7.125441616113189
Load_Current_A,1000,1000,0,15.0079,109.9526,63.2721393,63.7113,27.88685446960906
Ambient_Temperature_C,1000,1000,0,18.0,55.0,34.1803927,34.589150000000004,7.51755952936152
Test_Duration_min,1000,1000,0,5.0434,59.9745,31.9908627,31.83625,15.798382753440395
Sensor_S1,1000,994,6,0.0,28.5205,13.503142555331992,13.627749999999999,4.084499884790287
Sensor_S2,1000,998,2,-0.2015,28.0601,13.663168737474951,13.57855,3.926916076132973
Sensor_S3,1000,993,7,0.0,35.7555,16.967139577039276,16.9269,5.154166679815583
Sensor_S4,1000,971,29,11.4004,87.7375,49.75686477857879,49.4543,12.533115716289895
